t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
1400.0,8,19,0,30,216325,496000,1.0,0.4361391129032258
1410.0,8,28,0,28,231381,496000,1.0,0.46649395161290325
1420.0,8,36,0,34,274874,496000,0.875,0.5541814516129032
1430.0,8,50,0,34,311189,496000,1.0,0.6273971774193549
1440.0,8,38,0,46,304184,496000,1.0,0.6132741935483871
1450.0,8,48,0,49,357034,496000,1.0,0.7198266129032258
1460.0,8,49,0,45,348132,496000,1.0,0.7018790322580645
1470.0,8,40,0,51,347754,496000,1.0,0.701116935483871
1480.0,8,27,0,56,326462,496000,1.0,0.6581895161290322
1490.0,8,36,0,51,322442,496000,1.0,0.6500846774193548
1500.0,8,43,0,42,342786,496000,1.0,0.6911008064516129
1510.0,8,42,0,40,348340,496000,1.0,0.7022983870967742
1520.0,8,33,0,38,313884,496000,0.875,0.6328306451612903
1530.0,8,28,0,31,247874,496000,1.0,0.49974596774193547
1540.0,8,27,0,27,236306,496000,1.0,0.4764233870967742
1550.0,8,30,0,20,224702,496000,1.0,0.45302822580645163
1560.0,8,26,0,16,209370,496000,1.0,0.42211693548387097
1570.0,8,19,0,18,207333,496000,0.625,0.41801008064516126
1580.0,8,13,0,18,176260,496000,0.875,0.35536290322580644
1590.0,8,15,0,14,151178,496000,0.625,0.3047943548387097
1600.0,8,23,0,11,161132,496000,1.0,0.32486290322580647
1610.0,8,21,0,16,171169,496000,1.0,0.3450987903225806
1620.0,8,20,0,14,171274,496000,0.875,0.34531048387096774
1630.0,8,17,0,15,154438,496000,0.875,0.31136693548387095
1640.0,8,26,0,14,166118,496000,1.0,0.33491532258064516
1650.0,8,24,0,20,182419,496000,1.0,0.36778024193548386
1660.0,8,14,0,25,156778,496000,0.875,0.31608467741935486
1670.0,8,14,0,20,175878,496000,1.0,0.35459274193548385
1680.0,8,11,0,19,148766,496000,0.875,0.29993145161290324
1690.0,8,24,0,11,135858,496000,1.0,0.2739072580645161
1700.0,8,30,0,18,143220,496000,1.0,0.28875
1710.0,8,25,0,24,151033,496000,1.0,0.30450201612903227
1720.0,8,21,0,25,157734,496000,0.875,0.31801209677419356
1730.0,8,21,0,25,168194,496000,1.0,0.3391008064516129
1740.0,8,33,0,27,185344,496000,1.0,0.3736774193548387
1750.0,8,24,0,34,180655,496000,1.0,0.3642237903225806
