policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,slo_per_gpu_ratio,queue_delta_s_vs_hpa,recompute_saved_vs_hpa,gpu_saved_pct_vs_hpa,slo_delta_vs_hpa,completed_delta_vs_hpa
pressure-aware,64,8.0,468,405,545.5,691.4399999999999,1.2858957385519896,0.0229359567901234,0.0,8.0,594.5,25920,0.997608024691358,59005.0,7946329,15942472,0.498437695233211,60,0,60,0,824557,54,23,21.429090248774287,29,0,1.0,4,12,39762.0,1.4839545294502288,0.6722632027417639,594.5,149352571,-0.04380052716304905,0.028626543209876565,0
rl-qlearn,64,8.0,468,405,1101.0,2322.0599999999995,5.8518077962327375,0.0,0.0,44.5,0.0,25920,0.5664737654320988,36174.5,292600214,304498811,0.9609239952007564,27001,26823,178,295701575,893805,153,77,9.716492076282568,18,0,1.0,4,12,39762.0,0.9097756652079876,0.6226521406269918,0.0,-135301314,0.36007182154292483,-0.4025077160493826,0
rl-qlearn+parked,64,8.0,468,405,1063.0,2074.42,4.487440081296271,0.0,0.0,37.5,0.0,25920,0.6360725308641976,35204.0,300812023,313008052,0.9610360534750716,26976,26751,225,303979858,1139476,173,87,9.23383606557377,18,0,1.0,4,12,39762.0,0.8853679392384689,0.7184273370134707,0.0,-143513123,0.37724000070760144,-0.33290895061728387,0
hpa-gpu,64,8.0,936,819,676.5,1463.1999999999994,3.253467466622122,0.0,0.0,24.5,0.0,52416,0.9791666666666666,108209.0,344665775,366204568,0.9411837129240834,38651,38364,287,348660476,1707123,98,48,35.83672793508859,64,0,1.0,8,24,87720.0,1.2335727314181486,0.793764843959375,0.0,0,0.0,0.0,0
keda-queue,64,8.0,936,771,1620.5,3371.1499999999987,10.345686066176372,0.2950986412834881,3.5,66.0,15377.0,52416,0.0742330586080586,52726.5,641959983,666359810,0.9633834054307688,56437,56414,23,649804821,661312,16,8,13.276218053632128,17,308,0.9413919413919414,8,24,87720.0,0.601077291381669,0.1235000218315059,15377.0,-297294208,0.5127346154201591,-0.904933608058608,-48
kv-util,64,8.0,936,819,651.0,1253.719999999999,2.3511373750790905,0.0,0.0,19.5,0.0,52416,0.9999809218559218,104320.0,311944919,333461876,0.9354740120276898,39351,39103,248,315529448,2089980,88,43,34.52589773291412,57,0,1.0,8,24,87720.0,1.1892384860921112,0.8408581908090631,0.0,32720856,0.03593970926632717,0.02081425518925517,0
park-aware,64,8.0,936,819,673.0,1147.4099999999985,2.294469947134694,0.0,0.0,18.0,0.0,52416,0.9981112637362636,98199.0,336167176,358094542,0.938766545065074,42914,42527,387,337345073,4915993,115,59,31.929442367094783,59,0,1.0,8,24,87720.0,1.1194596443228455,0.8916009333592505,0.0,8498599,0.0925061686181371,0.018944597069596947,0
predictive,64,8.0,936,819,773.5,1401.7899999999995,2.6760765897910086,0.0,0.0,23.0,0.0,52416,0.9989125457875456,88896.5,478914964,502500145,0.9530643299615368,53477,52829,648,480203868,6502874,188,86,26.885377287161653,51,0,1.0,8,24,87720.0,1.0134119927040584,0.9856924458947598,0.0,-134249189,0.17847406407969757,0.019745879120878995,0
pressure-aware,64,8.0,936,819,548.5,736.3699999999998,2.4819590789749384,0.0868341727716727,2.0,8.5,4551.5,52416,0.9907471001221,117084.0,18387032,34386130,0.5347223429912003,237,0,237,0,2001621,76,35,42.50644400072608,59,0,1.0,8,24,87720.0,1.3347469220246235,0.7422733731569695,4551.5,326278743,-0.08201720744115559,0.011580433455433359,0
rl-qlearn,64,8.0,936,811,1295.0,2461.2,5.897331191384224,0.0,0.0,51.0,0.0,52416,0.3206654456654457,61644.0,612103236,636162093,0.9621812470992358,55536,55336,200,618962052,1548645,169,90,15.521591338285283,28,65,0.9902319902319904,8,24,87720.0,0.7027359781121751,0.4563099878945703,0.0,-267437461,0.4303246495208347,-0.6585012210012209,-8
rl-qlearn+parked,64,8.0,936,819,932.5,1677.4199999999996,3.3916562838333504,0.0,0.0,28.5,0.0,52416,0.9627403846153846,74430.5,580262302,604584497,0.9597703958326936,56417,56119,298,585336682,3469970,145,75,20.74139612651526,30,0,1.0,8,24,87720.0,0.848500911992704,1.1346368295048608,0.0,-235596527,0.31215980186490955,-0.01642628205128205,0
